date,category,amount
2023-01-01,Food,320
2023-01-02,Transport,150
2023-01-03,Shopping,2100
2023-01-05,Bills,4000
2023-01-06,Food,450
2023-01-08,Entertainment,700
2023-01-10,Travel,2500
2023-02-02,Food,380
2023-02-05,Health,900
2023-02-10,Shopping,1800
2023-02-15,Bills,3500
2023-03-01,Food,420
2023-03-03,Transport,120
2023-03-08,Entertainment,850
2023-03-15,Travel,3000
2023-04-02,Food,390
2023-04-06,Shopping,2200
2023-04-10,Bills,4100
2023-04-15,Health,1000
2023-05-01,Food,450
2023-05-04,Transport,180
2023-05-09,Entertainment,600
2023-05-15,Travel,2700
2023-06-02,Food,410
2023-06-06,Shopping,2500
2023-06-10,Bills,3900
2023-06-18,Health,1200
2023-07-01,Food,500
2023-07-03,Transport,200
2023-07-08,Entertainment,900
2023-07-15,Travel,3200
2023-08-02,Food,430
2023-08-05,Shopping,2600
2023-08-10,Bills,4200
2023-08-18,Health,1100
2023-09-01,Food,470
2023-09-04,Transport,160
2023-09-09,Entertainment,750
2023-09-15,Travel,2800
2023-10-02,Food,520
2023-10-06,Shopping,3000
2023-10-10,Bills,4500
2023-10-18,Health,1300
2023-11-01,Food,550
2023-11-04,Transport,220
2023-11-09,Entertainment,1000
2023-11-15,Travel,3500
2023-12-02,Food,600
2023-12-05,Shopping,4000
2023-12-10,Bills,5000
2023-12-20,Travel,4500

2024-01-01,Food,350
2024-01-03,Transport,140
2024-01-05,Shopping,2000
2024-01-08,Bills,4200
2024-01-10,Entertainment,800
2024-02-02,Food,400
2024-02-06,Health,950
2024-02-10,Shopping,2100
2024-02-15,Bills,3600
2024-03-01,Food,450
2024-03-05,Transport,130
2024-03-10,Entertainment,900
2024-03-15,Travel,3100
2024-04-02,Food,420
2024-04-06,Shopping,2300
2024-04-10,Bills,4300
2024-04-18,Health,1100
2024-05-01,Food,480
2024-05-04,Transport,170
2024-05-09,Entertainment,700
2024-05-15,Travel,2900
2024-06-02,Food,440
2024-06-06,Shopping,2600
2024-06-10,Bills,4100
2024-06-18,Health,1300
2024-07-01,Food,520
2024-07-03,Transport,210
2024-07-08,Entertainment,950
2024-07-15,Travel,3300
2024-08-02,Food,460
2024-08-05,Shopping,2700
2024-08-10,Bills,4400
2024-08-18,Health,1200
2024-09-01,Food,490
2024-09-04,Transport,180
2024-09-09,Entertainment,800
2024-09-15,Travel,3000
2024-10-02,Food,550
2024-10-06,Shopping,3200
2024-10-10,Bills,4700
2024-10-18,Health,1400
2024-11-01,Food,580
2024-11-04,Transport,230
2024-11-09,Entertainment,1100
2024-11-15,Travel,3600
2024-12-02,Food,650
2024-12-05,Shopping,4200
2024-12-10,Bills,5200
2024-12-20,Travel,4800

2025-01-01,Food,370
2025-01-03,Transport,150
2025-01-05,Shopping,2200
2025-01-08,Bills,4400
2025-01-10,Entertainment,850
2025-02-02,Food,420
2025-02-06,Health,1000
2025-02-10,Shopping,2300
2025-02-15,Bills,3800
2025-03-01,Food,480
2025-03-05,Transport,140
2025-03-10,Entertainment,950
2025-03-15,Travel,3200
2025-04-02,Food,450
2025-04-06,Shopping,2500
2025-04-10,Bills,4600
2025-04-18,Health,1200
2025-05-01,Food,500
2025-05-04,Transport,180
2025-05-09,Entertainment,750
2025-05-15,Travel,3000
2025-06-02,Food,460
2025-06-06,Shopping,2800
2025-06-10,Bills,4300
2025-06-18,Health,1400
2025-07-01,Food,540
2025-07-03,Transport,220
2025-07-08,Entertainment,1000
2025-07-15,Travel,3400
2025-08-02,Food,480
2025-08-05,Shopping,3000
2025-08-10,Bills,4600
2025-08-18,Health,1300
2025-09-01,Food,510
2025-09-04,Transport,190
2025-09-09,Entertainment,850
2025-09-15,Travel,3100
2025-10-02,Food,580
2025-10-06,Shopping,3500
2025-10-10,Bills,4900
2025-10-18,Health,1500
2025-11-01,Food,600
2025-11-04,Transport,240
2025-11-09,Entertainment,1200
2025-11-15,Travel,3800
2025-12-02,Food,700
2025-12-05,Shopping,4500
2025-12-10,Bills,5500
2025-12-20,Travel,5000
